#x  PDF(x)     CDF(x)     
 2  2.63e-112  2.63e-112  
 3  3.73e-10   3.73e-10   
 4  6.98e-06   6.98e-06   
 5  0.000131   0.000138   
 6  0.000835   0.000974   
 7  0.00251    0.00349    
 8  0.00889    0.0124     
 9  0.0219     0.0343     
10  0.035      0.0693     
11  0.0684     0.138      
12  0.102      0.24       
13  0.112      0.352      
14  0.143      0.495      
15  0.147      0.642      
16  0.118      0.76       
17  0.098      0.858      
18  0.0703     0.928      
19  0.0393     0.967      
20  0.0187     0.986      
21  0.00823    0.994      
22  0.00348    0.998      
23  0.00145    0.999      
24  0.000598   1          
25  0.000246   1          
26  0.000101   1          
27  4.14e-05   1          
28  1.7e-05    1          
29  6.96e-06   1          
30  2.85e-06   1          
31  1.17e-06   1          
32  4.8e-07    1          
33  1.97e-07   1          
34  8.06e-08   1          
35  3.31e-08   1          
36  1.35e-08   1          
37  5.57e-09   1          
38  2.29e-09   1          
39  9.37e-10   1          
40  3.48e-10   1          
41  1.66e-10   1          
42  6.59e-11   1          
43  1.95e-11   1          
44  1.71e-11   1          
45  2.13e-12   1          
46  1.75e-12   1          
