1  0.28 0:00.35 108280 i 1
2  0.64 0:00.73 212164 i 1
5  1.89 0:02.18 528264 i 1
10  4.36 0:04.85 1050804 i 1
20  10.66 0:11.75 2095680 i 1
50  29.38 0:32.57 5231504 i 1
100  69.18 1:22.97 10506248 i 1
1  0.20 0:00.27 62260 s 1
2  0.54 0:00.61 118488 s 1
5  2.19 0:02.45 290036 s 1
10  5.12 0:05.71 578332 s 1
20  11.59 0:12.66 1141244 s 1
50  29.77 0:32.98 2839772 s 1
100  60.85 1:05.32 5775428 s 1
1  0.49 0:00.53 110180 i 0.5
2  0.89 0:01.03 212616 i 0.5
5  2.90 0:03.12 526284 i 0.5
10  7.41 0:08.06 1050812 i 0.5
20  16.16 0:17.68 2094312 i 0.5
50  35.67 0:38.43 5232688 i 0.5
100  75.18 1:23.97 10503224 i 0.5
1  0.27 0:00.31 62372 s 0.5
2  0.81 0:00.91 120212 s 0.5
5  3.21 0:03.46 292448 s 0.5
10  8.36 0:08.95 576824 s 0.5
20  17.91 0:19.07 1141716 s 0.5
50  39.58 0:42.29 2839780 s 0.5
100  81.24 1:25.59 5773552 s 0.5
1  0.56 0:00.63 108060 i 0.25
2  0.82 0:00.93 212776 i 0.25
5  3.44 0:03.76 528748 i 0.25
10  8.84 0:09.48 1050924 i 0.25
20  18.40 0:19.92 2098552 i 0.25
50  41.24 0:43.83 5234844 i 0.25
100  91.98 1:38.46 10509340 i 0.25
1  0.69 0:00.79 64524 s 0.25
2  1.37 0:01.49 118976 s 0.25
5  5.74 0:06.02 290920 s 0.25
10  14.20 0:14.86 583756 s 0.25
20  27.22 0:28.47 1143524 s 0.25
50  63.93 1:06.45 2872732 s 0.25
100  144.58 2:29.37 5783064 s 0.25
1  1.58 0:01.64 112696 i 0
2  4.47 0:04.61 215820 i 0
5  14.42 0:14.91 530752 i 0
10  25.29 0:26.02 1057488 i 0
20  53.36 0:54.49 2104348 i 0
50  155.94 2:38.38 5257436 i 0
100  352.46 5:58.26 10524908 i 0
1  2.13 0:02.24 70804 s 0
2  5.85 0:06.01 127900 s 0
5  19.31 0:19.80 313200 s 0
10  34.43 0:34.98 622688 s 0
20  76.90 1:17.89 1237884 s 0
50  233.66 3:55.95 3062656 s 0
100  533.49 8:58.04 5787048 s 0
